breed,description,temperament,popularity,min_height,max_height,min_weight,max_weight,min_expectancy,max_expectancy,group,grooming_frequency_value,grooming_frequency_category,shedding_value,shedding_category,energy_level_value,energy_level_category,trainability_value,trainability_category,demeanor_value,demeanor_category
Boxer,"Boxer yang dibuat dengan baik dalam kondisi puncak adalah pemandangan yang menakjubkan. Laki-laki dapat berdiri setinggi 25 inci di bahu; betina menjadi lebih kecil. Otot-otot mereka bergetar di balik mantel pendek dan ketat. Mata coklat tua dan dahi yang berkerut membuat wajah terlihat waspada dan penasaran. Bulunya bisa berwarna coklat kekuningan atau belang-belang, dengan tanda putih. Petinju bergerak seperti atlet yang diberi nama: halus dan anggun, dengan dorongan ke depan yang kuat. Petinju adalah orang yang ceria dan ceria. Kesabaran dan sifat protektifnya membuat mereka mendapatkan reputasi sebagai anjing yang hebat dan memiliki anak. Mereka menjalankan tugas sebagai pengawas dan wali keluarga dengan serius dan akan menghadapi ancaman tanpa rasa takut. Petinju akan bekerja paling baik jika terpapar dengan banyak orang dan hewan lain pada awal masa kanak-kanaknya. Kesetiaan, kasih sayang, kecerdasan, etos kerja, dan ketampanan: Petinju adalah keseluruhan paket doggy. Cerah dan waspada, terkadang konyol, tetapi selalu berani, Boxer telah menjadi salah satu ras anjing paling populer di Amerika sejak lama.","Cerah, Menyenangkan, Aktif",11,54.61,63.5,6.80388555,36.2873896,10.0,12.0,Working Group,0.4,Menyikat Gigi Mingguan,0.4,Sesekali,0.8,Energik,0.8,Pelatihan Mudah,1.0,Keluar
Boykin Spaniel,"Boykins adalah anjing spaniel berukuran sedang, lebih besar dan lebih kuat dari Cockers tetapi lebih kompak dari Springers. Ciri khas ras ini adalah bulunya yang berwarna coklat solid yang indah. Warna berkisar dari hati yang kaya hingga coklat yang lezat. Telinganya yang besar dan berbulu menggantung di dekat pipi, menunjukkan ekspresi kecerdasan yang penuh perasaan. Dibesarkan untuk bekerja di danau dan rawa di negara asal mereka di Carolina Selatan, Boykins berjari jaring dapat berenang seperti anjing laut. Selama bertahun-tahun, Boykins hanya dikenal di kalangan pemburu unggas air Carolina dan kalkun liar. Namun akhir-akhir ini, dunia luas telah mengetahui bahwa Boykin sama menyenangkannya di rumah dan juga di danau. “Mereka adalah anjing yang sangat, sangat manis untuk dimiliki bersama keluarga,” kata seorang pemilik lama, “tetapi benar-benar seekor harimau di lapangan.” Anjing pembilas dan pemungut berukuran sedang yang terkenal dengan bulu coklatnya yang kaya, Boykin Spaniel adalah anjing yang rajin, bersemangat, ceria, dan mudah dilatih. Anjing rumahan yang lembut dan anjing burung yang ulet ini pernah menjadi rahasia terbaik di Carolina Selatan.","Ramah, Bersemangat, Menyenangkan",100,35.56,45.72,11.33980925,18.1436948,10.0,15.0,Sporting Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.6,Musiman,0.6,Latihan rutin,1.0,Ingin menyenangkan,0.6,Waspada/Responsif
Bracco Italiano,"Tangguh dan beradaptasi dengan semua jenis perburuan, Bracco Italiano dapat diandalkan, cerdas, jinak, dan mudah dilatih. Dia memiliki penampilan yang kuat, dengan anggota badan yang ramping, otot yang berkembang dengan baik, dan kepala yang terpahat. Dalam bahasa Inggris, dia adalah Anjing Penunjuk Italia. Bracco Italiano adalah salah satu ras penunjuk tertua. Anjing ini diperkenalkan ke Amerika Serikat pada tahun 1990-an dan tetap setia pada warisannya sebagai anjing penembak serbaguna. Ia lembut di rumah dan tak kenal lelah di lapangan.","Penyayang, Cerdas, Antusias",,53.34,68.58,24.947580350000003,40.8233133,10.0,14.0,Miscellaneous Class,0.2,Sesekali Mandi/Sikat,0.4,Sesekali,0.8,Energik,0.8,Pelatihan Mudah,0.6,Waspada/Responsif
Braque du Bourbonnais,"Bourbonnais adalah ras kuno yang berevolusi di Perancis pada abad ke-15 di provinsi bersejarah Bourbonnais. Pada tahun 1800-an, ras ini dikenal di kalangan pemburu Prancis sebagai anjing penunjuk tak berekor dengan ciri khas anak rusa dan detak jantung. Braque du Bourbonnais kini telah memperoleh pijakan yang kuat di Amerika Utara; beberapa tahun ada lebih banyak anak anjing yang terdaftar di Amerika Serikat daripada di kampung halamannya di Perancis. Dalam bahasa Inggris, dia adalah Bourbonnais Pointing Dog. Dia baik hati dan penuh kasih sayang di rumah dan merupakan pemburu yang serius, mudah beradaptasi, dan cerdas di lapangan. Detail Kontak KlubKlub: Braque du Bourbonnais Club of AmericaNama: Cindy PetkwitzEmail: villagelock58@comcast.netAlamat: 572 Hollywood, Grosse Pointe, MI 48236Telepon: (313) 881-8603 Diucapkan brock-do-bor-bon-NAY, penunjuk ini memiliki sikap tenang dan lembut yang cocok untuk pemburu kaki. Ukurannya yang relatif kecil dan bulunya yang pendek sangat cocok untuk mereka sebagai teman rumah yang ideal bagi keluarga yang berburu.","Penuh kasih sayang, mudah beradaptasi, lembut",,48.26,57.15,15.875732950000002,24.04039561,10.0,12.0,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,,nan,0.6,Latihan rutin,1.0,Ingin menyenangkan,0.6,Waspada/Responsif
Braque Francais Pyrenean,"Braque Francais Pyrenean adalah anjing berukuran sedang yang proporsional dengan bulu lembut dan berbulu pendek. Dia dibesarkan untuk berburu pegunungan Pyrenees yang sangat terjal dan gersang di perbatasan Perancis dan Spanyol. Trah ini sudah ada sejak ratusan tahun yang lalu dan dianggap sebagai nenek moyang yang sama dari semua ras penunjuk berambut pendek saat ini. Sebenarnya ada dua tipe Braque Francais: Tipe Gascony dan tipe Pyrenean. Braque Francais Pyrenean adalah yang lebih kecil dan lebih populer dari keduanya. Dia memiliki naluri mengambil alami dan menyukai air. Dia lembut, ramah, mudah bergaul, dan penurut. Braque Francais Pyrenean adalah ras pedesaan dan berasal dari Perancis. Dalam bahasa Inggris, dia adalah Anjing Penunjuk Perancis Tipe Pyrenean.","Ramah, Cerdas, Mau Menyenangkan",,46.99,58.42,18.1436948,24.947580350000003,,,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,0.6,Musiman,1.0,Membutuhkan Banyak Aktivitas,,nan,,nan
Briard,"Briard adalah penggembala yang dikenal dengan bulu bergelombang berwarna abu-abu, kuning kecoklatan, atau hitam, dan kepala yang mengesankan dengan tatanan rambut mengintip yang dibelah secara alami di tengah. Jenggot dan alis yang mewah menonjolkan ekspresi yang digambarkan sebagai “terus terang dan penuh pertanyaan.” Berdiri antara 22 dan 27 inci di bahu, Briard bertubuh kekar dan kasar tetapi bergerak dengan gaya berjalan yang gesit. Mereka memiliki ciri-ciri yang sama dengan banyak penggembala lainnya: kemampuan untuk dilatih, otak, dan pandangan yang protektif terhadap keluarga (terutama anak-anak, yang mereka anggap sebagai kawanan mereka), dan kewaspadaan terhadap orang luar. Ini adalah anjing yang besar dan tak kenal lelah—dikatakan bahwa hanya dua atau tiga ekor Briard yang dapat menangani 700 ekor domba—dan pemilik pemula mungkin akan kewalahan dengan semangat kerja dan semangat hidup mereka. Briard mengemas begitu banyak kesetiaan, cinta, dan semangat ke dalam bingkainya yang luas sehingga sering digambarkan sebagai 'hati yang terbungkus bulu'. Ketampanan pria Prancis berotot ini memancarkan aura romansa dan keanggunan Galia yang berbeda.","Percaya Diri, Cerdas, Setia",132,55.88,68.58,24.947580350000003,45.359237,12.0,12.0,Herding Group,0.8,Menyikat Setiap Hari,0.2,Jarang,0.6,Latihan rutin,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
Brittany,"Brittany lebih kecil dari setter tetapi lebih berkaki panjang dari spaniel, dengan tinggi sekitar 20 inci di bahu. Bulu mereka yang indah dan bermotif berani hadir dalam kombinasi warna putih dan oranye cerah serta hati (coklat kemerahan). Mereka kasar dan kuat tetapi halus, bersih, dan cepat terjadi. Wajahnya memiliki “kelembutan” yang dihargai oleh pecinta burung-anjing; telinga yang tinggi menunjukkan semangat penting dari ras ini. Semangat dan keserbagunaan yang menjadikan Brittany sebagai pemburu tiada tara dapat disalurkan ke dalam olahraga anjing. Ketaatan, kelincahan, flyball, penyelaman di dermaga—sebut saja, ras yang dapat dilatih ini siap melakukannya. Brittany sangat cocok bagi mereka yang mencari teman berburu serba guna, rekan satu tim dalam olahraga anjing, atau teman yang selaras dengan kehidupan keluarga yang ceria dan beraktivitas di luar ruangan. Para olahragawan di kedua sisi Atlantik menghargai Brittany yang lincah dan energik sebagai gundog yang penuh gaya dan serbaguna. Cerah dan bersemangat di rumah, dan tak kenal lelah di lapangan, Brittany membutuhkan banyak latihan, terutama dengan orang-orang kesayangannya.","Cerah, Menyenangkan, Optimis",26,44.45,52.07,13.6077711,18.1436948,12.0,14.0,Sporting Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.6,Musiman,1.0,Membutuhkan Banyak Aktivitas,1.0,Ingin menyenangkan,0.8,Ramah
Broholmer,"Anjing besar tipe mastiff, Broholmer berbentuk persegi panjang dan bertubuh kuat dengan kepala lebar dan besar. Sekitar tahun 1800, sebuah buku anjing Denmark menggambarkannya sebagai ras yang sangat biasa, terutama di sekitar Kopenhagen. Julukannya adalah “anjing tukang daging”, karena ia sering terlihat tergeletak di depan pintu toko daging. Dia adalah pelindung rumah dan penggembala serta anjing penjaga ternak di peternakan dan di pasar kota. Saat ini, ukuran tubuhnya adalah satu-satunya hal yang dapat mencegah penyusup. Broholmer berhati emas, suka meringkuk, dan selalu ingin berada di dekat Anda, meskipun dia lebih suka duduk di atas Anda. Dia adalah anjing yang sangat baik dalam bergaul dengan anak-anak dan anjing lain, meskipun karena dia tampaknya meremehkan ukuran tubuhnya, pengawasan disarankan. Trah ini juga sangat lincah untuk ukuran tubuhnya dan dapat melakukan kelincahan, mengambil bola, dan melompat serta menangkap frisbee. Apa pun yang Anda lakukan, berkemah, hiking, piknik, berjalan-jalan di taman, dia akan dengan senang hati menemani Anda. Detail Kontak KlubBroholmer Club of the USANama: Kathy KimmethEmail: amberdogs@new.rr.comTelepon: (920) 410-0142 (hanya teks) Tenang, baik hati, namun waspada dan percaya diri, Broholmer berasal dari Denmark dan merupakan keluarga yang hebat pendamping.","Ramah, Waspada, Penuh Kasih",,69.85,74.93,40.8233133,68.0388555,8.0,10.0,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,0.6,Musiman,0.4,Tenang,,nan,,nan
Brussels Griffon,"Dengan trah ini, Anda mendapatkan kepribadian yang besar dalam paket seberat 5 hingga 15 pon. Sekali tatap matanya yang besar dan mirip manusia, dan Anda akan terpesona. Griff tersedia dalam empat warna—merah, hitam-coklat kemerahan (disebut belge), hitam dan cokelat, dan hitam—dan dalam bulu halus (seperti Pug) atau bulu kasar (seperti Schnauzer). Moncong dan kumis hitam mereka membuat mereka mendapat julukan “anjing berjanggut” dalam lagu-lagu daerah kuno. Mata hitam besar Griff—digambarkan sebagai “hampir seperti manusia”—ditambah dengan janggut dan kumis yang menutupi moncong pendeknya, memberinya kesan duniawi. , filsuf berbahasa Perancis. Tubuh Griff tebal dan kokoh, dan dia bergerak dengan gerakan berlari seperti orang yang tahu apa yang diinginkannya. Griff waspada, mudah bergaul, dan mudah dilatih. Meski ceria dan energik, ukurannya yang kecil dan sifatnya yang sensitif menjadikan mereka pilihan yang buruk sebagai teman bermain kasar bagi anak-anak. Mereka memiliki ambang kesepian yang rendah dan akan tetap dekat dengan manusia istimewa mereka, memberikan cinta dan tawa selama bertahun-tahun. Dengan berat tidak lebih dari 12 pon, mainan mirip manusia dengan karakter kompleks ini memiliki kepribadian yang cukup untuk 10 anjing biasa. Sebagai pendamping sensitif bagi orang dewasa yang cerdas, Brussels Griffon cerdas, berbakti, dan lucu dalam mementingkan diri sendiri.","Setia, Waspada, Penasaran",98,17.78,25.4,3.62873896,4.535923700000001,12.0,15.0,Toy Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.6,Musiman,0.6,Latihan rutin,0.6,Menyenangkan,0.8,Ramah
Bull Terrier,"Bull Terrier adalah anjing terrier yang kuat dan berperawakan besar yang bergerak dengan langkah riang yang menunjukkan ketangkasan dan kekuatan. Ciri khas trah ini adalah kepalanya yang panjang berbentuk telur dengan telinga tegak dan lancip, serta mata kecil berbentuk segitiga yang berkilau karena humor yang bagus. Mantel tersedia dalam dua jenis: putih; dan warna lainnya (termasuk garis belang-belang yang menarik), baik solid atau bertanda putih. BT yang dibuat dengan baik adalah gambaran tekad dan keseimbangan otot. Ada empat kunci kebahagiaan BT: sosialisasi dini dengan anjing dan manusia; pelatihan yang tegas namun penuh kasih; banyak olahraga; dan banyak waktu berkualitas dengan manusia kesayangannya. Jika persyaratan ini terpenuhi, tidak ada lagi teman yang setia, menyenangkan, dan menghibur. Ini adalah “ras kepribadian” yang paling utama. Di antara warga dogdom yang paling lucu dan nakal, Bull Terrier adalah anjing yang lucu dan menawan, terkadang keras kepala, tetapi selalu setia. Orang-orang “orang bodoh” yang unik ini adalah teman yang bersemangat dan berotot yang berkembang dalam kasih sayang dan olahraga.","Lucu, Menawan, Nakal",62,53.34,55.88,22.6796185,31.751465900000003,12.0,13.0,Terrier Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.8,Energik,0.4,Mandiri,0.8,Ramah
Bulldog,"Anda tidak dapat salah mengira Bulldog sebagai ras lainnya. Kulit kepala yang kendur, alis yang berkerut, hidung yang menonjol, telinga yang kecil, rahang yang menonjol dengan potongan yang menggantung di kedua sisinya, dan gaya berjalan yang khas, semuanya praktis berteriak, “Saya seorang Bulldog!” Bulunya terlihat dalam berbagai warna dan corak, pendek, halus, dan mengkilap. Bulldog bisa memiliki berat hingga 50 pon, tapi itu tidak akan menghentikan mereka untuk meringkuk di pangkuan Anda, atau setidaknya mencoba melakukannya. Namun jangan salah mengira cara santai mereka sebagai kemalasan—Bulldog menyukai jalan cepat dan membutuhkan olahraga ringan secara teratur, serta pola makan yang cermat, agar tetap langsing. Sore musim panas paling baik dihabiskan di ruangan ber-AC karena moncong pendek Bulldog dapat menyebabkan sesak napas dalam cuaca panas dan lembab. Baik hati namun berani, bersahabat namun berwibawa, Bulldog adalah seekor anjing jagoan yang berbadan tegap, bertubuh rendah, dan berotot dengan wajah “sourmug” yang merupakan simbol universal dari keberanian dan keuletan. Teman yang patuh dan setia ini beradaptasi dengan baik di kota atau desa.","Ramah, Berani, Tenang",5,35.56,38.1,18.1436948,22.6796185,8.0,10.0,Non-Sporting Group,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.8,Secara teratur,0.6,Latihan rutin,0.6,Menyenangkan,0.8,Ramah
Bullmastiff,"Bullmastiff tidak sebesar sepupu dekatnya, Mastiff. Tetap saja, dengan tinggi bahu 27 inci dan berat antara 100 dan 130 pon, ini masih termasuk anjing yang banyak. Setelah kesan pertama yang dibuat oleh ukuran Bullmastiff, kepalanya yang besar dan lebarlah yang mencerminkan esensi dari ras ini: mata yang gelap, telinga berbentuk V yang tinggi, dan moncong yang lebar dan dalam semuanya digabungkan untuk menghadirkan kecerdasan, kewaspadaan, dan kepercayaan diri yang menjadikan Bullmastiff sebagai pelindung dan pendamping keluarga kelas dunia. Bulunya berwarna coklat kekuningan, merah, atau belang-belang. Anjing ini adalah makhluk yang dapat ditawar dan dapat diandalkan, tetapi seperti anjing penjaga berukuran besar lainnya, pemilik harus memulai pelatihan dan sosialisasi sejak dini, saat anak anjing masih cukup kecil untuk dikendalikan. Tak kenal takut di tempat kerja, jinak di rumah, Bullmastiff adalah penjaga bertubuh besar dan berotot yang mengejar dan menahan pemburu liar di Merry Old England—kami kira, gembira bagi semua orang kecuali pemburu liar. Bullmastiff merupakan hasil persilangan Bulldog dan Mastiff.","Penyayang, Setia, Berani",51,60.96,68.58,45.359237,58.9670081,7.0,9.0,Working Group,0.2,Sesekali Mandi/Sikat,0.6,Musiman,0.8,Energik,0.6,Menyenangkan,0.6,Waspada/Responsif
Cairn Terrier,"Kualitas unik Cairn, yang disebut “Cairnishness,” termasuk kepala yang pendek dan lebar serta tubuh yang dapat bergerak bebas dan berkaki pendek yang memancarkan kekuatan tetapi tidak berat, tingginya sekitar 10 inci dan panjang sekitar 15 inci. Lapisan gandanya kasar dan tipis di bagian atas dan berbulu halus di bagian bawah. Cairn tampil sebagai anjing kecil, berbulu lebat, waspada, dengan kepala, ekor, dan telinga terangkat, serta mata bersinar penuh kecerdasan. Sebuah klub ras Inggris mempromosikan Cairns sebagai “sahabat kecil terbaik di dunia”. Cairns cukup kecil untuk dipeluk dan cukup kokoh untuk bermain-main di halaman. Mereka melakukan yang terbaik dengan banyak kontak keluarga dekat. Bagi pemilik yang menghargai kualitas terrier berupa permainan, pemikiran mandiri, dan kesetiaan sejati, tidak ada ras lain yang bisa melakukannya. Cairn Terrier adalah anjing tanah kecil yang ceria dan sibuk yang awalnya dibiakkan untuk membasmi rubah dan mangsa kecil berbulu lainnya tanpa rasa takut di pedesaan Skotlandia yang berbatu-batu. Penasaran dan waspada, Cairns senang memiliki tempat di mana mereka bisa menjelajah dan menggali.","Waspada, Ceria, Sibuk",69,24.13,25.4,5.8967008100000005,6.35029318,13.0,15.0,Terrier Group,0.4,Menyikat Gigi Mingguan,0.4,Sesekali,0.6,Latihan rutin,0.6,Menyenangkan,0.8,Ramah
Canaan Dog,"Anjing Kanaan adalah anjing kurus dan berekor lebat dengan tinggi bahu 19 hingga 24 inci. Bulunya lurus dan kasar, serta tersedia dalam berbagai warna dan corak. Telinga yang tegak dan ekspresif serta mata almond gelap menunjukkan ekspresi ingin tahu. Orang Kanaan bergerak dengan cepat dan alami. Mereka tangguh, lincah, dan tampaknya tak kenal lelah, menjadikannya cocok untuk pejalan kaki dan pelari. Orang Kanaan cerdas, percaya diri, dan teritorial. Mereka pada akhirnya akan “memiliki” pemilik pasif yang belum menjadikan diri mereka sebagai yang teratas dalam kelompok keluarga. Pelatihan dan sosialisasi dini adalah kuncinya. Ketika metode positif diterapkan, anjing ajaib kuno ini berlatih dengan indah. Ketangkasan, ketaatan, cobaan menggiring, dan tugas jaga adalah beberapa pelampiasan etos kerja mereka. Salah satu ras tertua AKC, Anjing Kanaan adalah anjing nasional Israel. Anjing padang rumput yang cepat dan berukuran sedang ini jinak dengan keluarga, menyendiri dengan orang asing. Kanaan yang selalu waspada adalah penjaga kawanan dan rumah yang vokal dan gigih.","Percaya Diri, Waspada, Waspada",179,48.26,60.96,15.875732950000002,24.947580350000003,12.0,15.0,Herding Group,0.4,Menyikat Gigi Mingguan,1.0,Sering,0.6,Latihan rutin,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
Cane Corso,"Dengan tinggi hampir 28 inci di bahu dan sering kali beratnya lebih dari 100 pon, dengan kepala besar, ekspresi waspada, dan otot-otot yang bergerak di balik bulunya yang pendek dan kaku, Corsi sekilas merupakan makhluk yang mengintimidasi. Penampilan mereka yang mengesankan adalah garis pertahanan pertama mereka melawan penyusup. Seperti yang dikatakan oleh seorang penulis, “Sikap yang bersahaja dengan kompetensi yang keren, sikap yang Anda harapkan dari seorang pengawal profesional, adalah ciri khas ras ini.” Corsi cerdas, setia, bersemangat untuk menyenangkan, serba bisa, dan sangat loyal kepada mereka. manusia, tapi juga tegas dan berkemauan keras, dan bisa jadi memiliki pemilik tanpa disadari. Seperti halnya anjing penjaga besar lainnya, pembiakan yang bertanggung jawab dan sosialisasi dini dengan manusia dan anjing lain sangatlah penting. Cerdas, terlatih, dan memiliki sikap mulia, Cane Corso yang tegas dan percaya diri adalah pelindung yang tiada tara. Silsilah Corso berasal dari zaman Romawi kuno, dan nama ras ini secara kasar diterjemahkan dari bahasa Latin sebagai “anjing pengawal”.","Penyayang, Cerdas, Luar Biasa",32,59.69,69.85,0.0,0.0,9.0,12.0,Working Group,0.2,Sesekali Mandi/Sikat,0.4,Sesekali,0.8,Energik,0.6,Menyenangkan,0.6,Waspada/Responsif
Cardigan Welsh Corgi,"Anjing bertubuh panjang dan rendah dengan tulang kokoh, kaki pendek, dan dada dalam, Cardigan adalah pekerja kuat dengan kecepatan dan keanggunan yang menipu. Cardis dapat memiliki berat antara 25 hingga 34 pon, dengan betina berada di skala paling bawah. Mereka tersedia dalam beberapa warna bulu, dari merah hingga pola merle biru yang populer. Cara tercepat untuk membedakan Cardis dari sepupunya, Pembroke Welsh Corgis, adalah dengan memeriksa bagian belakangnya: Cardigan memiliki ekor; Pembrokes tidak. Cardis adalah penjaga yang bisa dilatih, setia, dan waspada dengan gonggongan “anjing besar”. Cardis yang bersosialisasi dengan baik sangat menyukai anak-anak dan ramah dengan hewan peliharaan lainnya. Para penggembala yang atletis dan tangguh ini menyukai alam bebas, dan mereka berkembang dengan stimulasi mental dan aktivitas fisik. Cardigan Welsh Corgi adalah mahakarya seni para peternak: Setiap aspek riasannya sangat cocok untuk memindahkan ternak, namun ia sangat ramah dan berwajah manis sehingga akan menjadi teman yang disayangi meskipun ia tidak pernah bekerja sehari pun.","Penyayang, Setia, Cerdas",68,26.67,31.75,11.33980925,17.23651006,12.0,15.0,Herding Group,0.4,Menyikat Gigi Mingguan,0.6,Musiman,0.8,Energik,0.6,Menyenangkan,0.6,Waspada/Responsif
Carolina Dog,"Anjing Carolina adalah keturunan dari gigi taring yang menemani orang Paleo-India yang melakukan perjalanan dari Asia ke Amerika Utara melalui jembatan darat Bering. Saat ini, mereka masih dapat ditemukan hidup liar di dekat perbatasan Georgia-Carolina Selatan, tetapi juga telah terlihat di utara hingga Ohio dan Pennsylvania dan hingga barat hingga Arizona; daerah pedesaan adalah denominator umum. Anjing khas Carolina memiliki telinga yang lancip, moncong mirip rubah, dan ekor yang melengkung seperti kail saat diangkat. Mereka terlihat mirip dengan Dingo Australia tetapi, secara taksonomi, mereka termasuk dalam canis familiaris. Ragu-ragu dengan orang asing, mereka akan membunyikan alarm ketika tidak menyadari siapa yang ada di depan pintu, tetapi begitu mereka melihat orang-orangnya, mereka sangat gembira. Anjing Carolina memiliki mentalitas kawanan yang ekstrim, karena ini adalah kebutuhan untuk bertahan hidup di alam liar. Detail Kontak KlubKlub: Klub Anjing Carolina AmerikaNama: Lane Watkins, PresidenEmail: presiden@thecarolinadogclubofamerica.com Anjing Carolina pada umumnya pemalu dan curiga, tetapi begitu seekor anjing menerima manusia ke dalam kawanannya, perilaku tersebut menghilang terhadap manusia tersebut. Seekor anjing pengintai bertubuh sedang, mereka memiliki penampilan umum seperti serigala atau serigala.","Setia, Mandiri, Pendiam terhadap Orang Asing",,45.085,49.53,13.6077711,24.947580350000003,,,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,0.6,Musiman,0.6,Latihan rutin,1.0,Ingin menyenangkan,0.6,Waspada/Responsif
Catahoula Leopard Dog,"Anjing Macan Tutul Catahoula adalah anjing berbulu pendek berukuran sedang, yang dikenal dengan beragam warna dan pola bulu dan mata. Kata catahoula berasal dari Choctaw dan diterjemahkan berarti “danau suci.” Catahoulas adalah satu-satunya jenis anjing yang secara historis berasal dari negara bagian Louisiana. Trah ini memerlukan bimbingan yang tegas dan sosialisasi awal, karena mereka bisa mandiri, teritorial, dan protektif. Untuk alasan yang sama, mereka tidak mengizinkan penganiayaan dan akan membela diri. Begitu mereka mengetahui tempatnya dalam unit keluarga, mereka penuh kasih sayang, setia, dan lembut. Disebut juga Anjing Babi Catahoula, mereka digunakan sebagai anjing penjaga, anjing teluk, anjing pohon, anjing penjaga, anjing penjaga, dan tentu saja sebagai sahabat setia. Anjing Macan Tutul Catahoula adalah anjing pekerja serba guna yang berotot dan kuat, tetapi dengan rasa kelincahan dan daya tahan. Mereka serius saat bekerja dan bermain-main di rumah.","Setia, Mandiri, Waspada",,55.88,60.96,22.6796185,43.09127515,10.0,14.0,Foundation Stock Service,,nan,,nan,1.0,Membutuhkan Banyak Aktivitas,0.4,Mandiri,0.4,Dicadangkan dengan Orang Asing
Caucasian Shepherd Dog,"Anjing Gembala Kaukasia digunakan selama berabad-abad untuk melindungi properti dari penyusup, menjaga ternak dari predator besar dan kecil seperti serigala dan anjing hutan, dan untuk banyak tugas lainnya. Di zaman modern, khususnya di negara-negara Barat, mereka umumnya adalah sahabat dan pengawas. Ada banyak variasi jenis anjing Kaukasia tergantung pada wilayah asalnya. Selama hampir satu abad, terdapat dua tipe dan standar ras: Tipe Mountain, yang berbulu panjang dan memiliki massa tubuh lebih berat dibandingkan tipe Steppe, anjing berbulu pendek dengan massa tubuh lebih ringan. Nama lain untuk trah ini termasuk Caucasian Ovcharka, Caucasian Sheepdog, Kawkasky Owtscharka, dan Kaukasische Schaferhund. Anjing Gembala Kaukasia adalah ras penjaga yang serius dan tidak boleh dianggap enteng. Orang Kaukasia adalah orang yang berani, tak kenal takut, percaya diri, dan galak ketika ada ancaman, namun ia lembut, berbakti, baik hati, dan menyayangi keluarganya, termasuk hewan peliharaan keluarga lainnya.","Tak kenal takut, Berani, Baik hati",,58.42,76.2,44.905644630000005,77.1107029,10.0,12.0,Foundation Stock Service,0.6,Menyikat Gigi 2-3 Kali Seminggu,0.8,Secara teratur,0.4,Tenang,0.4,Mandiri,0.2,Menyendiri/Waspada
Cavalier King Charles Spaniel,"Kecantikan Cavalier yang menyeluruh, keanggunan yang anggun, dan bahkan temperamennya menandai dia sebagai salah satu bangsawan dogdom. Seekor mainan spaniel yang tingginya tidak lebih dari 13 inci, Cavalier menarik Anda dengan wajahnya: Ekspresi manis, lembut, dan meleleh yang terpancar dari mata bulat yang besar adalah ciri khas ras ini. Yang lainnya adalah bulu halus dan kaya warna yang bisa menjadi salah satu dari empat varietas berbeda. Cavalier mungkin bangsawan, tetapi mereka dengan senang hati turun dari kuda kerajaan mereka untuk bermain-main di halaman belakang atau mengejar tupai. Mereka rukun dengan anak-anak dan anjing lain. Cavalier yang mudah beradaptasi bisa bekerja sama baiknya dengan pemilik yang aktif dan orang rumahan—mereka bisa menjadi atlet yang bersemangat atau orang yang tidak tahu malu, bergantung pada gaya hidup pemiliknya. Cavalier King Charles Spaniel menggunakan hubungannya dengan sejarah Inggris atas nama rasnya. Cavalier adalah yang terbaik dari dua dunia, menggabungkan perhatian lembut dari ras mainan dengan semangat dan atletis dari seekor spaniel olahraga.","Penyayang, Lembut, Anggun",18,30.48,33.02,5.8967008100000005,8.164662660000001,12.0,15.0,Toy Group,0.4,Menyikat Gigi Mingguan,0.4,Sesekali,0.4,Tenang,1.0,Ingin menyenangkan,0.8,Ramah
Central Asian Shepherd Dog,"Anjing Gembala Asia Tengah adalah ras pelindung alami yang memerlukan perhatian terus-menerus terhadap kehidupan anjingnya. Ini bukan untuk pemilik anjing pertama kali. Mereka terbentuk sebagai ras hasil seleksi alam selama lebih dari empat ribu tahun di wilayah yang luas, yang saat ini tersebar dari Laut Kaspia hingga Tiongkok dan dari Ural Selatan hingga Afghanistan. Anjing Gembala Asia Tengah percaya diri, seimbang, pendiam, bangga, dan mandiri. Mereka sangat berani dan memiliki kapasitas kerja yang tinggi, daya tahan dan naluri alami terhadap wilayah. Trah ini dikenal karena keberaniannya terhadap predator besar.","Mandiri, Berani, Percaya Diri",,64.77,69.85,39.91612856,49.895160700000005,,,Foundation Stock Service,0.2,Sesekali Mandi/Sikat,0.6,Musiman,0.4,Tenang,0.4,Mandiri,0.2,Menyendiri/Waspada
